id;nombre
432;GAMARRA
433;GONZALEZ
434;LA GLORIA
435;LA JAGUA IBIRICO
436;MANAURE (BALCON DEL CESAR)
437;PAILITAS
438;PELAYA
439;PUEBLO BELLO
440;RIO DE ORO
441;LA PAZ (ROBLES)
442;SAN ALBERTO
443;SAN DIEGO
444;SAN MARTIN
445;TAMALAMEQUE
446;MONTERIA
447;AYAPEL
448;BUENAVISTA
449;CANALETE
450;CERETE
451;CHIMA
452;CHINU
453;CIENAGA DE ORO
454;COTORRA
455;LA APARTADA
456;LORICA
457;LOS CORDOBAS
458;MOMIL
459;MONTELIBANO
460;MOÑITOS
461;PLANETA RICA
462;PUEBLO NUEVO
463;PUERTO ESCONDIDO
464;PUERTO LIBERTADOR
465;PURISIMA
466;SAHAGUN
467;SAN ANDRES SOTAVENTO
468;SAN ANTERO
469;SAN BERNARDO DEL VIENTO
470;SAN CARLOS
471;SAN PELAYO
472;TIERRALTA
473;VALENCIA
474;AGUA DE DIOS
475;ALBAN
476;ANAPOIMA
477;ANOLAIMA
478;ARBELAEZ
479;BELTRAN
480;BITUIMA
481;BOJACA
482;CABRERA
483;CACHIPAY
484;CAJICA
485;CAPARRAPI
486;CAQUEZA
487;CARMEN DE CARUPA
488;CHAGUANI
489;CHIA
490;CHIPAQUE
491;CHOACHI
492;CHOCONTA
493;COGUA
494;COTA
495;CUCUNUBA
496;EL COLEGIO
497;EL PEÑON
498;EL ROSAL
499;FACATATIVA
500;FOMEQUE
501;FOSCA
502;FUNZA
503;FUQUENE
504;FUSAGASUGA
505;GACHALA
506;GACHANCIPA
507;GACHETA
508;GAMA
509;GIRARDOT
510;GRANADA
511;GUACHETA
512;GUADUAS
513;GUASCA
514;GUATAQUI
515;GUATAVITA
516;GUAYABAL DE SIQUIMA
517;GUAYABETAL
518;GUTIERREZ
519;JERUSALEN
520;JUNIN
521;LA CALERA
522;LA MESA
523;LA PALMA
524;LA PEÑA
525;LA VEGA
526;LENGUAZAQUE
527;MACHETA
528;MADRID
529;MANTA
530;MEDINA
531;MOSQUERA
532;NARIÑO
533;NEMOCON
534;NILO
535;NIMAIMA
536;NOCAIMA
537;VENECIA (OSPINA PEREZ)
538;PACHO
539;PAIME
540;PANDI
541;PARATEBUENO
542;PASCA
543;PUERTO SALGAR
544;PULI
545;QUEBRADANEGRA
546;QUETAME
547;QUIPILE
548;APULO (RAFAEL REYES)
549;RICAURTE
550;SAN ANTONIO DEL TEQUENDAMA
551;SAN BERNARDO
552;SAN CAYETANO
553;SAN FRANCISCO
554;SAN JUAN DE RIOSECO
555;SASAIMA
556;SESQUILE
557;SIBATE
558;SILVANIA
559;SIMIJACA
560;SOACHA
561;SOPO
562;SUBACHOQUE
563;SUESCA
564;SUPATA
565;SUSA
566;SUTATAUSA
567;TABIO
568;TAUSA
569;TENA
570;TENJO
571;TIBACUY
572;TIBIRITA
573;TOCAIMA
574;TOCANCIPA
575;TOPAIPI
576;UBALA
577;UBAQUE
578;UBATE
579;UNE
580;UTICA
581;VERGARA
582;VIANI
583;VILLAGOMEZ
584;VILLAPINZON
585;VILLETA
586;VIOTA
587;YACOPI
588;ZIPACON
589;ZIPAQUIRA
590;QUIBDO (SAN FRANCISCO DE QUIBDO)
591;ACANDI
592;ALTO BAUDO (PIE DE PATO)
593;ATRATO
594;BAGADO
595;BAHIA SOLANO (MUTIS)
596;BAJO BAUDO (PIZARRO)
597;BOJAYA (BELLAVISTA)
598;CANTON DE SAN PABLO (MANAGRU)
599;CONDOTO
600;EL CARMEN DE ATRATO
601;LITORAL DEL BAJO SAN JUAN (SANTA GENOVEVA DE DOCORDO)
602;ISTMINA
603;JURADO
604;LLORO
605;MEDIO ATRATO
606;MEDIO BAUDO
607;NOVITA
608;NUQUI
609;RIOQUITO
610;RIOSUCIO
611;SAN JOSE DEL PALMAR
612;SIPI
613;TADO
614;UNGUIA
615;UNION PANAMERICANA
616;NEIVA
617;ACEVEDO
618;AGRADO
619;AIPE
620;ALGECIRAS
621;ALTAMIRA
622;BARAYA
623;CAMPOALEGRE
624;COLOMBIA
625;ELIAS
626;GARZON
627;GIGANTE
628;GUADALUPE
629;HOBO
630;IQUIRA
